task_name,method,budget_unit,return_mean_up,return_std,return_median_up,return_ci95,score_mean_up,score_std,score_median_up,score_ci95,win_rate_up,steps_to_T_down,p95_latency_ms_down,p99_latency_ms_down,max_latency_ms_down,loop_overrun_rate_down,e2e_overrun_rate_down,actual_cpu_e2e_p95_ms_down,actual_cpu_e2e_p99_ms_down,actual_cpu_e2e_max_ms_down,actual_cpu_e2e_overrun_rate_down,rollout_equivalents_mean_per_interval_context
grid-treasure,DLGPR-full,rollout-equivalent unit,-0.18519999999999998,0.4181825226168859,-0.2259999999999999,0.299149755510223,-0.18519999999999998,0.4181825226168859,-0.2259999999999999,0.299149755510223,0.42000000000000004,352.0,40.0,40.0,40.0,0.0,0.0,,,,,39.14
grid-treasure,GA-only,rollout-equivalent unit,-0.2242,0.4047039521537798,-0.197,0.28950776704682785,-0.2242,0.4047039521537798,-0.197,0.28950776704682785,0.4,320.0,40.0,40.0,40.0,0.0,0.0,,,,,40.0
grid-treasure,PSO-only,rollout-equivalent unit,-0.33840000000000003,0.3381371188011028,-0.42800000000000005,0.24188872309939197,-0.33840000000000003,0.3381371188011028,-0.42800000000000005,0.24188872309939197,0.34,,40.0,40.0,40.0,0.0,0.0,,,,,40.0
grid-treasure,RL-only,rollout-equivalent unit,-0.7332000000000001,0.33689589555891664,-0.773,0.24100080548124278,-0.7332000000000001,0.33689589555891664,-0.773,0.24100080548124278,0.15999999999999998,,39.0,39.0,39.0,0.0,0.0,,,,,39.0
grid-treasure,fixed-split,rollout-equivalent unit,-0.35960000000000003,0.30471086477365905,-0.24599999999999994,0.21797702144013034,-0.35960000000000003,0.30471086477365905,-0.24599999999999994,0.21797702144013034,0.33999999999999997,,39.0,39.0,39.0,0.0,0.0,,,,,39.0
grid-treasure,greedy-improvement,rollout-equivalent unit,-0.18099999999999997,0.3775126193622907,-0.215,0.2700562593518895,-0.18099999999999997,0.3775126193622907,-0.215,0.2700562593518895,0.4200000000000001,576.0,40.0,40.0,40.0,0.0,0.0,,,,,40.0
grid-treasure,robust-DLGPR,rollout-equivalent unit,0.06699999999999999,0.38180303240749097,0.15499999999999994,0.2731254359532401,0.06699999999999999,0.38180303240749097,0.15499999999999994,0.2731254359532401,0.5399999999999999,720.0,36.0,36.0,36.0,0.0,0.0,,,,,36.0
grid-treasure,robust-near-elite-DLGPR,rollout-equivalent unit,0.050999999999999976,0.36960429290436186,0.185,0.2643989834055396,0.050999999999999976,0.36960429290436186,0.185,0.2643989834055396,0.52,672.0,40.0,40.0,40.0,0.0,0.0,,,,,39.72
line-duel,DLGPR-full,rollout-equivalent unit,-0.20340000000000003,0.33607809938894995,-0.197,0.24041578934338076,-0.20340000000000003,0.33607809938894995,-0.197,0.24041578934338076,0.4,,40.0,40.0,40.0,0.0,0.0,,,,,39.1175
line-duel,GA-only,rollout-equivalent unit,-0.24320000000000003,0.36020512674493316,-0.21499999999999997,0.25767522498302653,-0.24320000000000003,0.36020512674493316,-0.21499999999999997,0.25767522498302653,0.38,,40.0,40.0,40.0,0.0,0.0,,,,,40.0
line-duel,PSO-only,rollout-equivalent unit,-0.36960000000000004,0.4446859566030841,-0.6,0.3181091700441875,-0.36960000000000004,0.4446859566030841,-0.6,0.3181091700441875,0.32000000000000006,,40.0,40.0,40.0,0.0,0.0,,,,,40.0
line-duel,RL-only,rollout-equivalent unit,-0.3426,0.4369002428726977,-0.221,0.31253960595924496,-0.3426,0.4369002428726977,-0.221,0.31253960595924496,0.33999999999999997,,39.0,39.0,39.0,0.0,0.0,,,,,39.0
line-duel,fixed-split,rollout-equivalent unit,-0.19980000000000003,0.39427508727339655,-0.188,0.28204740653321075,-0.19980000000000003,0.39427508727339655,-0.188,0.28204740653321075,0.4,,39.0,39.0,39.0,0.0,0.0,,,,,39.0
line-duel,greedy-improvement,rollout-equivalent unit,-0.281,0.3232491299292235,-0.20499999999999996,0.2312384974438787,-0.281,0.3232491299292235,-0.20499999999999996,0.2312384974438787,0.36000000000000004,,40.0,40.0,40.0,0.0,0.0,,,,,40.0
line-duel,robust-DLGPR,rollout-equivalent unit,-0.024000000000000007,0.3373899820682292,0.20500000000000002,0.24135425367782645,-0.024000000000000007,0.3373899820682292,0.20500000000000002,0.24135425367782645,0.48,,36.0,36.0,36.0,0.0,0.0,,,,,36.0
line-duel,robust-near-elite-DLGPR,rollout-equivalent unit,-0.024600000000000018,0.336207673915989,0.199,0.240508481376136,-0.024600000000000018,0.336207673915989,0.199,0.240508481376136,0.48,,40.0,40.0,40.0,0.0,0.0,,,,,39.4225
resource-defense,DLGPR-full,rollout-equivalent unit,1.5381189999999998,0.12353282100490993,1.5384435999999997,0.0883700566199003,1.5381189999999998,0.12353282100490993,1.5384435999999997,0.0883700566199003,0.0,32.0,40.0,40.0,40.0,0.0,0.0,,,,,39.235
resource-defense,GA-only,rollout-equivalent unit,1.5552185600000001,0.26205335502202703,1.5796758,0.1874616772477894,1.5552185600000001,0.26205335502202703,1.5796758,0.1874616772477894,0.0,32.0,40.0,40.0,40.0,0.0,0.0,,,,,40.0
resource-defense,PSO-only,rollout-equivalent unit,1.2996994800000001,0.28434467895394855,1.2286004,0.2034079297657186,1.2996994800000001,0.28434467895394855,1.2286004,0.2034079297657186,0.0,32.0,40.0,40.0,40.0,0.0,0.0,,,,,40.0
resource-defense,RL-only,rollout-equivalent unit,0.9604958399999999,0.3853156959324167,1.0480936,0.27563824406414705,0.9604958399999999,0.3853156959324167,1.0480936,0.27563824406414705,0.0,288.0,39.0,39.0,39.0,0.0,0.0,,,,,39.0
resource-defense,fixed-split,rollout-equivalent unit,1.43076976,0.2520543760606306,1.4836574,0.18030883859509905,1.43076976,0.2520543760606306,1.4836574,0.18030883859509905,0.0,32.0,39.0,39.0,39.0,0.0,0.0,,,,,39.0
resource-defense,greedy-improvement,rollout-equivalent unit,1.5595941199999999,0.19065701634636886,1.5068735999999998,0.13638781331513686,1.5595941199999999,0.19065701634636886,1.5068735999999998,0.13638781331513686,0.0,32.0,40.0,40.0,40.0,0.0,0.0,,,,,40.0
resource-defense,robust-DLGPR,rollout-equivalent unit,1.40196312,0.20469461977099673,1.4456583999999997,0.14642970986822187,1.40196312,0.20469461977099673,1.4456583999999997,0.14642970986822187,0.0,32.0,36.0,36.0,36.0,0.0,0.0,,,,,36.0
resource-defense,robust-near-elite-DLGPR,rollout-equivalent unit,1.41985988,0.15844074373480257,1.4054137999999998,0.11334168021781935,1.41985988,0.15844074373480257,1.4054137999999998,0.11334168021781935,0.0,32.0,40.0,40.0,40.0,0.0,0.0,,,,,39.67
