task_name,scheduler,equivalence_group,independent_baseline_note,return_mean_up,return_std,return_median_up,return_ci95,win_rate_up,p99_latency_ms_down,loop_overrun_rate_down,mean_unused_loop_budget_ms_context,handshake_events_total
grid-treasure,DLGPR-full,timing-rule alias with strict-delta-max,These pairs are behaviorally equivalent under the reported configuration.,-0.18519999999999998,0.4181825226168859,-0.2259999999999999,0.299149755510223,0.42000000000000004,40.0,0.0,0.86,6670
grid-treasure,fixed-split,static-allocation alias with round-robin,These pairs are behaviorally equivalent under the reported configuration.,-0.35960000000000003,0.30471086477365905,-0.24599999999999994,0.21797702144013034,0.34,39.0,0.0,1.0,6000
grid-treasure,greedy-improvement,independent reported label,No duplicate-equivalence warning for this scheduler label.,-0.18099999999999997,0.3775126193622907,-0.215,0.2700562593518895,0.42000000000000004,40.0,0.0,0.0,8000
grid-treasure,robust-DLGPR,independent reported label,No duplicate-equivalence warning for this scheduler label.,0.06699999999999999,0.38180303240749097,0.15499999999999994,0.2731254359532401,0.54,36.0,0.0,4.0,2400
grid-treasure,robust-near-elite-DLGPR,independent reported label,No duplicate-equivalence warning for this scheduler label.,0.05099999999999997,0.3696042929043619,0.185,0.26439898340553963,0.5199999999999999,40.0,0.0,0.28,830
line-duel,DLGPR-full,timing-rule alias with strict-delta-max,These pairs are behaviorally equivalent under the reported configuration.,-0.20340000000000003,0.33607809938894995,-0.197,0.24041578934338076,0.4,40.0,0.0,0.8825,6709
line-duel,fixed-split,static-allocation alias with round-robin,These pairs are behaviorally equivalent under the reported configuration.,-0.19980000000000003,0.39427508727339655,-0.188,0.28204740653321075,0.4,39.0,0.0,1.0,6000
line-duel,greedy-improvement,independent reported label,No duplicate-equivalence warning for this scheduler label.,-0.281,0.32324912992922344,-0.20499999999999996,0.23123849744387867,0.36,40.0,0.0,0.0,8000
line-duel,robust-DLGPR,independent reported label,No duplicate-equivalence warning for this scheduler label.,-0.024000000000000014,0.3373899820682292,0.20500000000000002,0.24135425367782645,0.48,36.0,0.0,4.0,2400
line-duel,robust-near-elite-DLGPR,independent reported label,No duplicate-equivalence warning for this scheduler label.,-0.024600000000000014,0.336207673915989,0.199,0.240508481376136,0.48,40.0,0.0,0.5775,2134
resource-defense,DLGPR-full,timing-rule alias with strict-delta-max,These pairs are behaviorally equivalent under the reported configuration.,1.5381189999999998,0.12353282100490995,1.5384435999999997,0.08837005661990031,0.0,40.0,0.0,0.765,6161
resource-defense,fixed-split,static-allocation alias with round-robin,These pairs are behaviorally equivalent under the reported configuration.,1.43076976,0.25205437606063064,1.4836574,0.18030883859509908,0.0,39.0,0.0,1.0,6000
resource-defense,greedy-improvement,independent reported label,No duplicate-equivalence warning for this scheduler label.,1.5595941199999999,0.19065701634636886,1.5068735999999998,0.13638781331513686,0.0,40.0,0.0,0.0,8000
resource-defense,robust-DLGPR,independent reported label,No duplicate-equivalence warning for this scheduler label.,1.40196312,0.20469461977099673,1.4456583999999997,0.14642970986822187,0.0,36.0,0.0,4.0,2400
resource-defense,robust-near-elite-DLGPR,independent reported label,No duplicate-equivalence warning for this scheduler label.,1.41985988,0.15844074373480257,1.4054137999999998,0.11334168021781935,0.0,40.0,0.0,0.33,782
