task_name,method,do_not_start_rule,loop_overrun_rate_down,e2e_overrun_rate_down,p95_latency_ms_down,p99_latency_ms_down,max_overrun_ms_down,unused_budget_ms_context,actual_cpu_e2e_p99_ms_down,actual_cpu_e2e_overrun_rate_down,return_mean_up
gym-cliffwalking,relaxed-delta-min,relaxed_delta_min,0.99,0.99,119.750770010578,120.40505600474717,21.192700001993217,0.00828599997330457,120.59773699736978,0.99,-4.0
gym-cliffwalking,strict-delta-max,strict_delta_max,0.0,0.0,75.12295000065933,76.65011299970502,0.0,27.519566000119084,76.7626439970627,0.0,-4.0
gym-frozenlake-4x4,relaxed-delta-min,relaxed_delta_min,0.98,0.98,105.17772498875276,105.4281850103871,5.793000022240449,0.016609999944921582,105.92746200032707,0.98,0.0
gym-frozenlake-4x4,strict-delta-max,strict_delta_max,0.0,0.0,67.10691000240331,67.31262499633885,0.0,35.50070800083631,67.60999100239133,0.0,0.0
line-duel,relaxed-delta-min,relaxed_delta_min,0.7,0.7,102.11780001242005,102.40594900249562,2.4107999890111387,0.13256699904741254,103.38485300504544,1.0,0.3540000000000001
line-duel,strict-delta-max,strict_delta_max,0.0,0.0,63.44705998177233,63.587215008956264,0.0,38.20258899933833,64.25256199981959,0.0,0.3580000000000001
minigrid-empty-5x5,relaxed-delta-min,relaxed_delta_min,1.0,1.0,131.18608000382665,134.90705300486297,35.95179999334505,0.0,135.07830199399905,1.0,0.0
minigrid-empty-5x5,strict-delta-max,strict_delta_max,0.0,0.0,64.61064499904751,79.6600780105655,0.0,37.54598200073815,79.75084300356686,0.0,0.0
resource-defense,relaxed-delta-min,relaxed_delta_min,0.58,0.58,102.93107999728818,103.0775330068718,3.199599999934435,0.24630599983793217,104.11349400230392,0.89,0.14500759999999996
resource-defense,strict-delta-max,strict_delta_max,0.0,0.0,63.863479987558094,64.26876098157663,0.0,37.44697799971618,64.86906899473979,0.0,0.15036039999999998
